hhid,upm,nvivi,nhoga,dpto,area,año,fex_2022,facpob,dominio,ipcm,lnipcm,tipo_empleo,tipo_vivienda,tipo_pared,tipo_piso,tipo_techo,tipo_agua_proveedor,tipo_agua_vivienda,tipo_agua_proveedor_beber,tipo_agua_fuente_beber,tipo_banho_desague,tipo_combustible,tipo_basura,tipo_vivienda_propiedad,tipo_hogar,tiene_agua_24hrs,tiene_luz_electrica,tiene_linea_fija,tiene_celular,tiene_banho,tiene_computadora,tiene_tableta,tiene_internet,tiene_internet_cablewifi,tiene_internet_modem,tiene_radio,tiene_televisor,tiene_heladera,tiene_cocina_gas,tiene_cocina_elec,tiene_lavarropas,tiene_videoDVD,tiene_termocalefon,tiene_acondicionador_aire,tiene_antena_parabolica,tiene_tv_cable,tiene_horno_microondas,tiene_horno_electrico,tiene_auto_camion,tiene_motocicleta,tiene_seguro,jefe,jefe_edad,jefe_anios_estudio,jefe_idioma,jefe_tipo_empleo,jefe_estado_civil,jefe_tiene_seguro,nro_dormitorios,nro_trabajo,nro_5menos,nro_6a14,nro_tiene_seguro,totpers,linea_pobreza_total,linea_pobreza_extrema,pobrezai,pobnopoi,pob_total,pob_ext,ipcm_median
10648_1_1,10648,1,1,6,6,2022,43.556065,217.78033,6,649336.5015974436,13.383706,4.3333335,1,4,4,4,2,2,2,2,2,1,1,1,4,1,1,0,1,1,0,0,0,,,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,.2,39,6,1,4,1,0,4,3,0,1,0,5,589563,308878,3,0,0,0,1349961.5
10648_20_1,10648,20,1,6,6,2022,43.556065,130.6682,6,384662.539936102,12.860122,3,1,3,4,4,2,2,2,2,7,3,1,1,2,1,1,0,1,1,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,.33333334,29,11,1,3,2,0,1,1,1,0,0,3,589563,308878,2,1,1,0,1349961.5
10648_26_1,10648,26,1,6,6,2022,43.556065,261.3364,6,234214.0242279019,12.363991,4,1,3,1,4,2,1,2,1,6,1,1,6,4,0,1,0,1,1,0,0,0,,,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,.16666667,47,4,1,2,1,0,4,3,1,1,0,6,589563,308878,1,1,1,1,1349961.5
10648_27_1,10648,27,1,6,6,2022,43.556065,130.6682,6,409299.4542066025,12.922202,4.5,1,3,4,4,2,2,2,2,6,1,1,1,4,1,1,0,1,1,0,0,0,,,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,.33333334,53,4,1,4,5,0,2,2,0,1,0,3,589563,308878,2,1,1,0,1349961.5
10648_28_1,10648,28,1,6,6,2022,43.556065,261.3364,6,228674.1214057506,12.340054,2,1,3,1,3,2,2,2,2,6,1,1,6,4,1,1,0,1,1,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.16666667,43,5,1,2,2,0,2,1,3,1,0,6,589563,308878,1,1,1,1,1349961.5
10648_29_1,10648,29,1,6,6,2022,43.556065,87.112129,6,699742.8115015968,13.458468,4,1,4,5,4,2,2,2,2,2,1,4,1,2,1,1,0,1,1,0,0,0,,,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,.5,68,8,1,9,1,1,2,1,0,0,2,2,589563,308878,3,0,0,0,1349961.5
10648_30_1,10648,30,1,6,6,2022,43.556065,87.112129,6,468741.1142172521,13.057806,4.5,1,4,5,1,2,2,2,2,2,1,1,6,2,1,1,0,1,1,0,0,0,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.5,49,3,1,5,1,0,2,2,0,0,0,2,589563,308878,2,1,1,0,1349961.5
10648_7_1,10648,7,1,6,6,2022,43.556065,87.112129,6,1526571.26597444,14.238535,4,1,3,4,4,2,2,2,2,2,1,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,73,6,1,4,2,0,2,1,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10648_8_1,10648,8,1,6,6,2022,43.556065,217.78033,6,483155.7507987217,13.088095,4,1,4,4,4,2,2,2,2,3,4,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,.2,37,6,1,3,1,0,2,2,1,2,0,5,589563,308878,2,1,1,0,1349961.5
1064_22_1,1064,22,1,0,1,2022,99.691917,199.38383,0,6841128.389154705,15.738463,1,2,4,6,6,1,2,11,7,1,4,2,4,3,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,.5,47,17,3,1,5,1,2,2,0,0,2,2,816163,338225,3,0,0,0,1349961.5
