5457243,4,1,2,2,1,2,1,2,2,2,1,1,1,6,1,6,1,1,1,3,6,6,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5657228,4,1,2,1,1,4,4,4,2,2,1,1,6,6,1,6,6,3,1,6,6,6,6,0,0,0,0,0,0,0,0,1,1,2,3,6,1,5,2,6,1,2,12,1,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
5880861,4,6,4,1,1,4,4,3,2,2,1,1,6,6,1,7,6,1,1,1,6,6,6,0,0,0,0,0,0,0,0,1,1,4,3,4,1,5,,,,,,,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
6836455,4,1,4,3,1,4,4,4,2,2,1,1,1,6,1,6,1,3,1,3,6,6,1,1,0,0,0,0,0,1,0,1,1,2,2,43,1,1,2,1,1,5,2,6,7,3,,,,1,1,,,1,,,,,,4,10,10,10,10,10,5,0,1,,6,4,6,,,,,,,,,6,1,,,,,0
6888924,4,6,4,1,1,3,1,4,2,2,1,1,1,6,1,6,6,1,1,6,6,6,6,0,0,0,0,0,0,0,0,1,1,1,1,38,6,5,1,1,1,3,6,6,7,3,,,,6,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0
7294322,4,6,3,1,1,3,1,4,2,2,1,1,1,6,1,3,1,1,1,1,6,6,6,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7447701,4,6,3,1,1,3,1,4,2,2,1,1,1,6,1,6,1,1,1,6,6,6,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
662871,4,6,2,3,3,3,3,4,6,6,4,1,1,6,1,3,1,1,1,1,6,6,6,1,0,0,0,0,1,1,0,1,1,2,2,61,6,1,1,1,1,3,6,6,7,3,,,,1,1,,,1,,,,,,1,4,0,0,4,0,0,0,1,,6,5,6,,,,,,,,,6,6,,,,,0
714832,11,6,2,1,1,4,4,1,1,1,1,1,1,6,1,2,6,3,2,3,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,62,1,1,2,1,1,3,3,6,7,3,,,,6,1,,,1,,,,,,2,5,5,5,5,5,5,0,3,30,6,4,6,,,,,,,,,1,1,,,,,0
783938,4,1,3,2,2,3,1,2,2,2,1,1,1,6,1,7,1,1,1,1,6,1,1,0,0,0,0,0,0,0,0,1,1,3,3,41,1,5,2,1,1,3,3,6,7,3,,,,1,1,,,1,,,,,,1,8,8,8,8,8,0,0,1,,6,2,1,0,6,50,6,6,,,,1,1,,,,,0
922289,4,1,5,3,2,4,5,4,2,2,2,1,1,6,1,2,1,2,1,1,6,1,1,1,0,1,0,0,1,1,1,1,1,3,3,23,6,5,2,1,1,20,2,6,7,3,,,,1,6,1,,1,,,,,,8,3,0,0,0,0,0,0,3,40,6,4,6,,,,,,,,,1,1,,,,,1
946074,4,6,2,3,2,4,5,4,7,7,4,1,1,6,1,2,1,1,1,1,6,6,6,1,0,0,0,1,0,0,0,1,1,2,2,69,6,1,1,1,1,3,4,6,7,1,1,,1,1,6,6,6,0,6,6,6,6,12,,,,,,,,,,,,,,,,,,,,,,6,6,6,1,6,6,0
1322407,4,1,2,4,2,4,4,3,1,1,2,1,1,6,1,2,1,2,2,1,6,6,6,1,0,1,1,1,1,1,0,1,1,1,1,74,1,1,1,1,1,5,2,6,7,3,,,,1,1,,,1,,,,,,5,8,8,8,8,8,8,4,1,,6,4,6,,,,,,,,,6,6,6,6,6,1,1
1380863,4,6,2,3,2,4,3,4,2,2,2,1,1,6,1,3,1,1,1,1,6,1,1,1,0,0,0,1,1,0,0,1,1,2,1,59,1,1,1,1,1,3,4,6,7,3,,,,6,1,,,1,,,,,,1,3,3,3,3,3,3,0,1,,6,4,6,,,,,,,,,1,1,,,,,0
1616592,4,1,4,4,3,3,3,2,2,2,1,1,1,6,1,3,1,1,1,1,6,1,1,1,0,0,0,0,0,1,0,1,1,2,2,60,6,1,1,1,1,5,3,6,7,1,1,,1,1,1,,,1,,,,,,5,12,12,12,12,12,12,0,1,,6,4,6,,,,,,,,,6,6,,,,,0
1752517,0,6,4,3,2,4,4,1,1,1,1,1,1,6,1,1,1,2,2,1,6,1,1,1,1,1,0,1,1,1,1,1,1,4,5,6,1,5,2,1,1,3,3,1,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,1
1818600,4,6,4,4,2,4,4,1,2,2,2,1,1,6,1,6,1,4,4,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,54,6,5,1,1,1,3,6,6,7,1,1,,1,1,1,,,1,,,,,,8,12,0,12,0,12,0,12,1,,1,1,6,,,,,,,,,6,6,,,,,0
